timestamp,title,buy_venue,sell_venue,buy_price,sell_price,spread_pct,confidence,relation,bid_a,ask_a,bid_b,ask_b,volume_a,volume_b,resolution_date,market_id_a,market_id_b,trusted
2026-06-23 20:11:31,Republican Presidential Nominee 2028 - Tucker Carlson,myriad,limitless,0.00522,0.054,4.8777,1,identity,0.00522334,0.00522334,0.054,0.057,20375204.51,114925000,2100-01-01 00:01:00+00:00,0c92b5bd-457c-4e94-8c3f-f4681744bf4f,84222a4d-18be-4561-b198-d187f59892d0,False
2026-06-23 20:11:31,Republican Presidential Nominee 2028 - Ron DeSantis,myriad,kalshi,0.00746,0.043,3.5543,1,identity,0.00745699,0.00745699,0.043,0.045,20375204.51,2467605.44,2100-01-01 00:01:00+00:00,f5bee072-802a-426a-bb24-fe90a64c619f,8feeb232-fdb2-433f-a81c-b34dd910cebe,False
2026-06-23 20:11:31,Republican Presidential Nominee 2028 - Marco Rubio,myriad,opinion,0.15454,0.181,2.6459,1,identity,0.15454143,0.15454143,0.181,0.683,20375204.51,74613.84,2100-01-01 00:01:00+00:00,b367e7ee-ec13-429c-907d-b59aeea6b897,86ff7a87-632c-4243-9530-6c50ed51abfa,False
2026-06-23 20:11:31,LoL: Worlds 2026 Winning Region - LCP (Asia-Pacific),opinion,myriad,0.023,0.04799,2.4986,1,identity,0.002,0.023,0.04798632,0.04798632,222441659.79,5268112.47,2026-12-31 00:00:00+00:00,d1e15f29-094c-47ee-ab5b-150c429894a8,d6a87e01-6a26-4eb8-a3d5-1c28f47b3273,False
2026-06-23 20:11:31,Republican Presidential Nominee 2028 - Donald Trump,limitless,myriad,0.029,0.05184,2.2839,1,identity,0.019,0.029,0.0518391,0.0518391,5466658389,20375204.51,2028-11-08 00:00:00+00:00,136f7cb1-4c27-4efa-8e44-16772d98ccd8,83666797-983b-4e26-b810-9dc8e34b2e5a,False
2026-06-23 20:11:31,2026 FIFA World Cup Winner - Argentina,opinion,kalshi,0.12,0.141,2.1,1,identity,0.119,0.12,0.141,0.145,3139554.71,18408385.24,2026-07-20 00:00:00+00:00,b7d0fde9-32e0-4241-b597-263c825b762d,ec93f7e4-5a37-4027-adfd-33eca0d498bd,False
2026-06-23 20:11:31,Republican Presidential Nominee 2028 - Ron DeSantis,myriad,opinion,0.00746,0.028,2.0543,1,identity,0.00745699,0.00745699,0.028,0.874,20375204.51,6661240.12,2100-01-01 00:01:00+00:00,f5bee072-802a-426a-bb24-fe90a64c619f,f5fc4471-68a5-4e62-a273-48c485ffd1f7,False
2026-06-23 20:11:31,Republican Presidential Nominee 2028 - Ron DeSantis,myriad,polymarket,0.00746,0.024,1.6543,1,identity,0.00745699,0.00745699,0.024,0.025,20375204.51,14235763.95,2100-01-01 00:01:00+00:00,f5bee072-802a-426a-bb24-fe90a64c619f,9546e10b-9758-4101-9e84-85fffe2e643d,False
2026-06-23 20:11:31,World Cup Winner  - Will Portugal win the 2026 FIFA World Cup?,polymarket,kalshi,0.075,0.09,1.5,1,identity,0.074,0.075,0.09,0.093,53968886.35,25093367.65,2026-07-20 00:00:00+00:00,52dcc40d-d5ed-4e4d-8263-a0bbb47b2203,bcb6b6e0-1503-487a-a674-ef8196631fd8,True
2026-06-23 20:11:31,2026 FIFA World Cup Winner - France,limitless,kalshi,0.178,0.192,1.4,1,identity,0.177,0.178,0.192,0.201,15000206901,22414641.79,2026-10-14 00:00:00+00:00,3ab6db43-85ca-4ab2-a8a8-822db745df9b,5497c7f2-2c3d-4cd6-b845-45e7b37c1736,True
